epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,342.8,0.44015,0.55205,0.4598,0.86196,0.97075,0.89146,0.91058,0.8013,0.95684,0.88018,0.90973,0.75093,0.44886,0.62127,0.40998,0.85518,0.000319079,0.000319079,0.000319079
74,346.469,0.43381,0.52686,0.44995,0.86571,0.95598,0.89416,0.91136,0.80179,0.92381,0.872,0.89174,0.72819,0.4506,0.60885,0.4053,0.85348,0.00030808,0.00030808,0.00030808
75,352.027,0.44697,0.54544,0.45399,0.86988,0.94101,0.89037,0.90539,0.80152,0.95754,0.86054,0.89809,0.7162,0.43383,0.59086,0.40382,0.85068,0.000297081,0.000297081,0.000297081
76,356.979,0.43124,0.54788,0.45221,0.86152,0.93689,0.88596,0.90309,0.79443,0.93974,0.85939,0.89491,0.69808,0.43918,0.59141,0.40967,0.84747,0.000286083,0.000286083,0.000286083
77,361.123,0.42179,0.53026,0.44325,0.85052,0.93528,0.89354,0.89968,0.79178,0.91159,0.86607,0.88731,0.70527,0.45436,0.60135,0.42192,0.85413,0.000275084,0.000275084,0.000275084
78,366.264,0.4471,0.55447,0.45117,0.84945,0.96118,0.87974,0.90017,0.80241,0.94806,0.86617,0.8909,0.70176,0.45156,0.60406,0.41318,0.86033,0.000264085,0.000264085,0.000264085
79,370.788,0.43142,0.54495,0.44419,0.86256,0.95664,0.88875,0.90074,0.80128,0.96947,0.90053,0.91669,0.73984,0.45116,0.6207,0.41197,0.86153,0.000253086,0.000253086,0.000253086
80,374.891,0.43936,0.53937,0.44899,0.86746,0.95217,0.88647,0.90018,0.79267,0.96617,0.89621,0.91726,0.74942,0.44905,0.61426,0.41236,0.86032,0.000242087,0.000242087,0.000242087
81,380.027,0.4246,0.54433,0.43261,0.85188,0.94792,0.88989,0.90283,0.7909,0.9571,0.89905,0.91894,0.74222,0.44776,0.62467,0.40868,0.86277,0.000231088,0.000231088,0.000231088
82,384.434,0.43483,0.53537,0.44399,0.86742,0.95215,0.89167,0.90739,0.80071,0.96797,0.86064,0.90338,0.73343,0.43764,0.63847,0.41436,0.8606,0.000220089,0.000220089,0.000220089
83,388.166,0.41247,0.51281,0.433,0.85621,0.95109,0.89238,0.90737,0.80069,0.92094,0.86784,0.8835,0.70093,0.44349,0.62541,0.41528,0.85904,0.00020909,0.00020909,0.00020909
84,393.041,0.41477,0.52521,0.43223,0.8542,0.95063,0.8908,0.90682,0.79231,0.92919,0.84359,0.8744,0.69948,0.44314,0.61515,0.40661,0.85719,0.000198091,0.000198091,0.000198091
85,397.872,0.41537,0.5151,0.42524,0.8507,0.94817,0.89031,0.90083,0.80158,0.9356,0.84162,0.87525,0.7017,0.42887,0.6179,0.40126,0.85324,0.000187092,0.000187092,0.000187092
86,401.665,0.41527,0.55558,0.42957,0.85991,0.94933,0.8855,0.90372,0.80575,0.93739,0.85052,0.88269,0.69827,0.42145,0.6017,0.39542,0.85204,0.000176094,0.000176094,0.000176094
87,406.532,0.4048,0.51311,0.41962,0.85506,0.95094,0.89503,0.90831,0.80987,0.95622,0.86553,0.8983,0.723,0.41439,0.60625,0.3969,0.848,0.000165095,0.000165095,0.000165095
88,411.675,0.42945,0.5279,0.43312,0.85635,0.94394,0.89498,0.91256,0.81404,0.95491,0.86402,0.91261,0.72153,0.40707,0.61348,0.39259,0.84372,0.000154096,0.000154096,0.000154096
89,415.743,0.39986,0.50623,0.42317,0.84823,0.94738,0.89447,0.91301,0.81905,0.95099,0.86277,0.91202,0.73203,0.41207,0.59286,0.39384,0.84746,0.000143097,0.000143097,0.000143097
90,420.217,0.40432,0.52588,0.41634,0.84352,0.95361,0.89272,0.91067,0.81771,0.9449,0.88383,0.90901,0.74192,0.42274,0.57606,0.39103,0.84963,0.000132098,0.000132098,0.000132098
91,427.647,0.42188,0.53606,0.52341,0.83926,0.94679,0.89442,0.91089,0.81576,0.93208,0.87814,0.90371,0.72664,0.4267,0.58313,0.39862,0.85457,0.000121099,0.000121099,0.000121099
92,433.551,0.39982,0.52521,0.46408,0.84093,0.96651,0.88562,0.91015,0.80842,0.93794,0.85933,0.88723,0.70909,0.42822,0.59916,0.42038,0.85221,0.0001101,0.0001101,0.0001101
93,439.531,0.37783,0.47524,0.44557,0.81745,0.95941,0.88954,0.9063,0.80111,0.95303,0.85909,0.89227,0.71614,0.43323,0.60821,0.45115,0.85198,9.91012e-05,9.91012e-05,9.91012e-05
94,442.804,0.38209,0.47294,0.46251,0.82717,0.9597,0.885,0.9024,0.79645,0.95763,0.86453,0.89613,0.72341,0.43242,0.6069,0.45077,0.84839,8.81023e-05,8.81023e-05,8.81023e-05
95,446.054,0.39115,0.50195,0.4499,0.83277,0.95358,0.87965,0.90346,0.80033,0.97295,0.87018,0.9043,0.7313,0.42692,0.59818,0.43046,0.84648,7.71034e-05,7.71034e-05,7.71034e-05
96,449.823,0.38565,0.47831,0.43901,0.84793,0.95049,0.88679,0.89947,0.80132,0.97998,0.87999,0.91082,0.74174,0.42571,0.58599,0.41621,0.85288,6.61045e-05,6.61045e-05,6.61045e-05
97,453.898,0.37119,0.46265,0.42165,0.83095,0.95236,0.88818,0.90121,0.8031,0.97114,0.87222,0.9025,0.74208,0.4196,0.58403,0.40601,0.8544,5.51056e-05,5.51056e-05,5.51056e-05
98,458.044,0.37116,0.45034,0.42406,0.82833,0.95874,0.89259,0.90881,0.80521,0.97118,0.87231,0.90324,0.73542,0.41737,0.58838,0.4027,0.85361,4.41067e-05,4.41067e-05,4.41067e-05
99,463.002,0.36243,0.47251,0.41931,0.82841,0.96437,0.88797,0.91026,0.81168,0.96804,0.86442,0.89673,0.72881,0.41784,0.59162,0.39757,0.8548,3.31078e-05,3.31078e-05,3.31078e-05
100,467.5,0.37131,0.51272,0.42859,0.8263,0.9616,0.89155,0.91091,0.80808,0.9466,0.87902,0.89786,0.72948,0.41725,0.59544,0.39458,0.85346,2.21089e-05,2.21089e-05,2.21089e-05
